CountryA3,Entity,Sector,0
CHN,Commodities,Steel-processing,0.0011084646484620288
EST,Industries,Construction,0.0010533890471718069
NLD,Industries,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods",0.0010232132963410789
DEU,Commodities,Business services,0.0009943438916006518
JPN,Commodities,Research and development (intra-enterprise),0.0009434628680882638
ROW,Industries,Total,0.0009133399728536019
DEU,Commodities,Fabricated metal products,0.0008601579706540425
EST,Industries,Manufacture of machinery and equipment n.e.c.,0.0008461357060420474
DEU,Commodities,Basic ferrous metals,0.0007509477660007174
FIN,Industries,"Manufacture of fabricated metal products, except machinery and equipment",0.0007129155300443683
CHN,Commodities,Wholesale and retail trade,0.0006871677818672388
NLD,Industries,"Manufacture of fabricated metal products, except machinery and equipment",0.0006752159670835273
GRC,Industries,Manufacture of electrical machinery and apparatus n.e.c.,0.0006379643851154952
DEU,Commodities,Reexport,0.0006064473568097624
ITA,Industries,Manufacture of machinery and equipment n.e.c.,0.0005801163892922328
CHN,Commodities,Rubber products,0.0005539069693670652
DEU,Commodities,Wholesale trade,0.0005376969813339019
DEU,Commodities,Machines,0.0005175380189688696
CHN,Commodities,Other general industrial machinery,0.0005069241111681299
CHN,Commodities,Steel-smelting ,0.0005026253574152299
KOR,Commodities,Finance and insurance,0.0004948588805717196
KOR,Commodities,"Electronic machinery, equipment, and supplies",0.0004935719731994701
JPN,Commodities,Plastic products,0.0004932703577776767
NLD,Commodities,Re-export,0.0004690027705859923
DNK,Industries,car,0.00046886858159880465
DEU,Commodities,Plastic products,0.00046743528228468053
CHN,Commodities,Other electric machinery and equipment,0.0004673609264699237
SVK,Industries,"Manufacture of fabricated metal products, except machinery and equipment",0.00046697471037351624
DNK,Industries,Mfr. of other electrical machinery and apparatus,0.0004569062764575155
SVN,Industries,Manufacture of basic metals,0.00045151056630898887
KOR,Commodities,Primary iron and steel products,0.0004417308296638253
CHN,Commodities,"Boiler, engines and turbine",0.00043092354794000884
PRT,Industries,Manufacture of rubber and plastic products,0.0004173099887298395
DEU,Commodities,Electricity generating equipment,0.00041149845245066347
SWE,Commodities,Basic metals,0.00041127149602928975
CZE,Industries,Manufacture of electrical machinery and apparatus n.e.c.,0.0004106455151616199
LTU,Industries,FISIM,0.0004098034122028075
KOR,Commodities,car,0.00039711251533876854
JPN,Commodities,Wholesale trade,0.0003750132602897451
CHN,Commodities,Business services,0.00037234195207595073
CHN,Commodities,Metal products,0.00037211179896271224
BEL,Industries,Manufacture of rubber and plastic products,0.00037020604402738817
JPN,Commodities,Electrical equipment for internal combustion engines,0.00036139245668695256
DNK,Industries,Mfr. of basic non-ferrous metals,0.00035802254222759946
SVK,Industries,"Manufacture of medical, precision and optical instruments, watches and clocks",0.000350727131149834
DEU,Commodities,"Passenger car trade and repairs, service stations",0.0003448842600905904
POL,Industries,Manufacture of machinery and equipment n.e.c.,0.0003355845527819902
CHN,Commodities,"Chemicals for painting, dying and others",0.0003351347956568841
CHN,Commodities,Plastic products,0.00033241401112465546
JPN,Commodities,Advertising services,0.0003312066768659878
JPN,Commodities,Sheet glass and safety glass,0.00032980868255330154
DNK,Industries,Mfr. of other general purpose machinery,0.0003226267906050916
JPN,Commodities,Road freight transport,0.0003213611235497387
SWE,Commodities,car,0.00031504161703973236
FRA,Commodities,car,0.0003149543178284187
NOR,Commodities,Basic metals,0.0003127715907700103
ESP,Commodities,car,0.00030979496025994546
ITA,Industries,"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale services of automotive fuel",0.000309086002634077
ITA,Commodities,car,0.0003017369485075992
DEU,Commodities,Chemical products,0.00029454521252789584
SVK,Industries,Manufacture of machinery and equipment n.e.c.,0.0002932710830958974
IRL,Industries,"Manufacture of fabricated metal products, except machinery and equipment",0.0002885250507801313
DEU,Commodities,"Ownership of land and dwellings, property servcies",0.0002853821952306929
POL,Commodities,car,0.00028263797926131285
KOR,Commodities,Wood and wooden products,0.00027047990062071154
ITA,Industries,"Manufacture of fabricated metal products, except machinery and equipment",0.0002668416791748817
CHN,Commodities,Electricity and steam production and supply ,0.000256896350413402
AUT,Commodities,car,0.0002465948925233582
KOR,Commodities,Plastic products,0.00023964099513327456
NLD,Commodities,car,0.0002365102636303179
KOR,Commodities,Glass products,0.0002343500581734181
DNK,Industries,Mfr. of construct. materials of metal etc.,0.0002342476864009665
DEU,Commodities,Cast metal,0.0002322532125382805
POL,Industries,"Manufacture of fabricated metal products, except machinery and equipment",0.0002303893718807688
SVN,Industries,Manufacture of rubber and plastic products,0.0002302799692739362
BEL,Industries,Supporting and auxiliary transport activities; activities of travel agencies,0.0002295760222341702
DNK,Industries,"Mfr. of hand tools, metal packaging etc.",0.00022542073068156177
NLD,Industries,Manufacture of machinery and equipment n.e.c.,0.00021456663060973573
DEU,Commodities,Services to transport,0.0002076406422316176
BEL,Industries,"Manufacture of fabricated metal products, except machinery and equipment",0.00020432823152134435
KOR,Commodities,Wholesale and retail trade,0.00020151679324146844
KOR,Commodities,Business services,0.00020136065656751638
DEU,Commodities,Electricity and district heat,0.0001981978036463006
KOR,Commodities,Precision instruments,0.00019327486127646687
SVN,Industries,"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale services of automotive fuel",0.00019327449948556018
MLT,Industries,Manufacture of furniture; manufacturing n.e.c.,0.0001878623225325918
JPN,Commodities,Tires and inner tubes,0.00018711185139753923
POL,Commodities,"Fabricated metal products, except machinery and equipment",0.00018184745846118808
SWE,Commodities,Machinery and equipment n.e.c.,0.00017916760402080333
DEU,Commodities,Rubber products,0.00017659006286636263
BEL,Commodities,Re-export,0.00017545400400973055
CHN,Commodities,Telecommunication,0.00017507806136733025
KOR,Commodities,Transportation and warehousing,0.00017507528598643366
DEU,Commodities,"Furniture, jewellery, musical instruments, sporting equipment, toys and other manufacturing",0.00017492683178087454
CHN,Commodities,Water freight and passangers transport,0.00017480326784817337
DNK,Industries,Freight transport by road and via pipelines,0.00016223317567149568
USA,Commodities,Motor vehicle parts manufacturing                                                                                            ,0.00016198242778265478
DNK,Industries,Letting of non-residential buildings,0.000161744480651503
DNK,Industries,"Sale of motor vehicles, motorcycles etc.",0.00015723610051755784
NLD,Industries,Manufacture of other non-metallic mineral products,0.00015317531403234128
AUT,Industries,Manufacture of furniture; manufacturing n.e.c.,0.0001520230293706003
JPN,Commodities,Hot rolled steel,0.00014992373075094098
SVK,Commodities,car,0.0001484546813882798
SWE,Commodities,"Chemicals, chemical products and man-made fibres",0.00014828997399003485
DEU,Commodities,Basic non-ferrous metals,0.00014805211502898335
DEU,Commodities,Other vehicles,0.00014763763591107754
JPN,Commodities,Other business services,0.00014658110368874464
CHN,Commodities,Highway freight and passangers transport,0.00014586289313861384
JPN,Commodities,Financial service,0.00014379575030982978
ITA,Industries,Manufacture of electrical machinery and apparatus n.e.c.,0.00014326508242968404
SWE,Commodities,"Fabricated metal products, except machinery and equipment",0.00013902412397102237
POL,Industries,Manufacture of furniture; manufacturing n.e.c.,0.00013852097810835364
RUS,Industries,Iron & steel,0.000137556417997563
JPN,Commodities,Goods rental and leasing (except car rental),0.00013697466428562826
BEL,Commodities,car,0.0001368940854992991
BEL,Industries,"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale services of automotive fuel",0.0001361586216726404
DEU,Commodities,Road and pipeline transport,0.00013394731071451316
ITA,Commodities,Machinery and equipment n.e.c.,0.0001332312010078871
POL,Industries,"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale services of automotive fuel",0.00012810509586934924
JPN,Commodities,car,0.00012708521279801178
BEL,Industries,Manufacture of machinery and equipment n.e.c.,0.00012630823191505497
DEU,Commodities,Banking,0.00012498964836908465
FIN,Industries,"Manufacture of medical, precision and optical instruments, watches and clocks",0.00012498739362477466
KOR,Commodities,Electric services,0.00012463879522976284
KOR,Commodities,Educational and research services,0.00012221222915722883
DEU,Commodities,Retail trade and repairs,0.00012154049386016701
CHN,Commodities,Household electric appliances,0.00012127662867891562
DNK,Industries,Production and distribution of electricity,0.00011972484546159998
CHN,Commodities,Finance,0.00011838855673882283
AUT,Industries,Manufacture of machinery and equipment n.e.c.,0.00011765269326238702
SVN,Industries,Land transport; transport via pipelines,0.00011725499521248873
CHE,Commodities,car,0.00011677385490775741
EST,Industries,Manufacture of rubber and plastic products,0.00011672597785996499
KOR,Commodities,Nonferrous metal ingots and primary nonferrous metal products,0.00011624396471998369
JPN,Commodities,Electric lighting fixtures and apparatus,0.00011554058085303382
JPN,Commodities,Cold-finished steel,0.00011516852899438057
HUN,Commodities,car,0.00011428634113163982
NLD,Commodities,Machinery and equipment n.e.c.,0.00011365911575386704
CZE,Industries,"Manufacture of medical, precision and optical instruments, watches and clocks",0.00011057459758159943
NLD,Commodities,"Chemicals, chemical products and man-made fibres",0.00010711953703317572
HUN,Industries,Manufacture of machinery and equipment n.e.c.,0.00010682459847114778
HUN,Industries,"Manufacture of fabricated metal products, except machinery and equipment",0.00010551937984163909
CHN,Commodities,Generators,0.00010532464129239944
GRC,Industries,Manufacture of other transport equipment,0.00010506930542970957
FRA,Commodities,Machinery and equipment n.e.c.,0.00010499848836789322
GBR,Commodities,Manufacture of parts and accessories for motor vehicles and their engines ,0.00010489880794254734
FIN,Industries,Manufacture of rubber and plastic products,0.00010467940488949756
KOR,Commodities,Communications and broadcasting,0.00010458798763747639
NLD,Industries,Public administration and defence; compulsory social security,0.00010332444318324398
TUR,Commodities,car,0.00010282615409081183
JPN,Commodities,Electric power for enterprise use,0.00010248813234909635
POL,Commodities,Machinery and equipment n.e.c.,0.00010219555403351116
CHN,Commodities,Communication equipment,0.00010021838625107958
DEU,Commodities,Communication and postal services,9.78639482576916e-05
CHN,Commodities,Glass and glass products,9.583041032780782e-05
FRA,Commodities,Basic metals,9.567177481041346e-05
NOR,Commodities,car,9.398773728755972e-05
JPN,Commodities,Electric bulbs,9.395015264789929e-05
HKG,Commodities,machinery and equipment,9.327554587316155e-05
KOR,Commodities,Machinery and equipment of general purpose,9.322092875961967e-05
NLD,Commodities,Basic metals,9.320818013746464e-05
GBR,Commodities,Manufacture of motor vehicles   ,9.12384177071337e-05
SWE,Industries,Manufacture of machinery and equipment n.e.c.,9.074763749052542e-05
BEL,Industries,Manufacture of textiles,8.922304197914521e-05
POL,Commodities,Basic metals,8.825861627058774e-05
JPN,Commodities,Electric wires and cables,8.756925814547161e-05
JPN,Commodities,Paint and varnishes,8.715211831581278e-05
SVN,Industries,Manufacture of machinery and equipment n.e.c.,8.695977155515187e-05
SWE,Commodities,Rubber and plastic products,8.68595101425909e-05
JPN,Commodities,Repair of machine,8.669478234034319e-05
KOR,Commodities,Fabricated metal products,8.655855544526531e-05
CZE,Commodities,car,8.474272276517682e-05
NOR,Commodities,Machinery and equipment n.e.c.,8.465367948905109e-05
DNK,Industries,Monetary intermediation,8.443461374318136e-05
CHE,Commodities,Basic metals,8.303676464723486e-05
DEU,Commodities,Mobile equipment hire,8.274856300162209e-05
CHE,Commodities,Machinery and equipment n.e.c.,8.248953577316505e-05
FRA,Commodities,"Chemicals, chemical products and man-made fibres",8.220609067087137e-05
AUT,Commodities,Basic metals,8.091042194175346e-05
SWE,Commodities,Electrical machinery and apparatus n.e.c.,7.993660176882307e-05
DNK,Industries,Post and telecommunications,7.700099683584762e-05
BEL,Industries,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",7.679541132851823e-05
DEU,Commodities,Glass and glass products,7.648880500927681e-05
DNK,Industries,Mfr. of basic ferrous metals,7.639169506522277e-05
DNK,Industries,Other business activities,7.505899121249229e-05
SVN,Industries,"Manufacture of fabricated metal products, except machinery and equipment",7.490916871418593e-05
CZE,Industries,Manufacture of machinery and equipment n.e.c.,7.487745315806642e-05
USA,Commodities,Wholesale trade                                                                                                              ,7.214836528159391e-05
CHN,Commodities,Other textiles not eslseshere classified,7.136116179984397e-05
BEL,Commodities,Basic metals,7.093318462373471e-05
CHE,Commodities,"Fabricated metal products, except machinery and equipment",7.06332701170305e-05
GBR,Commodities,Re-import,7.052559578285508e-05
SVK,Industries,"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale services of automotive fuel",7.010426790536137e-05
CHN,Commodities,"Instruments, meters and other measuring equipment",6.976874078379505e-05
CHE,Commodities,"Office machinery, computers and electrical machinery n.e.c.",6.88666527113953e-05
POL,Industries,Manufacture of rubber and plastic products,6.851893390161836e-05
JPN,Commodities,Other rubber products,6.836436254835031e-05
KOR,Commodities,Machinery and equipment of special purpose,6.820186751787032e-05
LUX,Industries,Metal Products,6.744885963360893e-05
DNK,Industries,Advertising,6.630833138752585e-05
DEU,Commodities,Other services,6.533810095005856e-05
KOR,Commodities,Other nonmetallic mineral products,6.519668370345063e-05
DNK,Industries,"Mfr. af marine engines, compressors etc.",6.472819456437045e-05
NLD,Industries,Manufacture of other transport equipment,6.453873925800756e-05
CHN,Commodities,Petroleum refining,6.341452943570666e-05
DEU,Commodities,Wood and wood products,6.321654313817681e-05
CHN,Commodities,Nonferrous metal processing,6.250626054837854e-05
ITA,Commodities,"Fabricated metal products, except machinery and equipment",6.240746380405086e-05
DNK,Industries,Mfr. of rubber products and plastic packing goods etc.,6.18287130036475e-05
LVA,Industries,"Manufacture of fabricated metal products, except machinery and equipment",6.134446220207627e-05
DNK,Industries,Software consultancy and supply,6.113678187618387e-05
JPN,Commodities,Retail trade,6.11018870526395e-05
FRA,Commodities,Rubber and plastic products,6.107982255228417e-05
DNK,Industries,Mfr. of wood and wood products,6.06194617763192e-05
KOR,Commodities,Real estate agencies and rental,6.03274533490905e-05
CHN,Commodities,"Furniture and products of wood, bamboo, cane, palm, straw, etc.",6.0183337738806265e-05
LUX,Industries,Transport Equipment,6.001187381375137e-05
USA,Commodities,Travel trailer and camper manufacturing                                                                                      ,5.981935123144612e-05
AUT,Commodities,Machinery and equipment n.e.c.,5.977700392132234e-05
FRA,Commodities,Electrical machinery and apparatus n.e.c.,5.97201110252144e-05
FRA,Commodities,Re-export,5.9701360155878567e-05
DNK,Industries,"Mfr. of paints,  printing ink and mastics",5.9577717400184894e-05
KOR,Commodities,Petroleum refinery products,5.9518068668235454e-05
NLD,Commodities,"Fabricated metal products, except machinery and equipment",5.776998396072823e-05
DNK,Industries,Manufacture and distribution of gas,5.7767339787058724e-05
HUN,Industries,Manufacture of electrical machinery and apparatus n.e.c.,5.774920760585825e-05
ITA,Commodities,Basic metals,5.680896113022315e-05
SWE,Commodities,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials,5.627811788535349e-05
KOR,Commodities,Leather and fur products,5.608154551252697e-05
FIN,Commodities,Basic metals,5.522299238396253e-05
KOR,Commodities,Other chemical products,5.49965947873631e-05
CHN,Commodities,Fireproof  products,5.475478012565688e-05
KOR,Commodities,Electronic components and accessories,5.444031897107803e-05
GBR,Commodities,"Manufacture of paints, varnishes and similar coatings, printing inks and mastics ",5.441842465283701e-05
ITA,Commodities,Rubber and plastic products,5.4348890932909643e-05
AUT,Industries,"Manufacture of fabricated metal products, except machinery and equipment",5.391392434545924e-05
KOR,Commodities,Business consumption expenditure,5.266341716010661e-05
DNK,Industries,Activities of other transport agencies,5.2655618926058526e-05
SWE,Commodities,Re-export,5.217575582263041e-05
POL,Commodities,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials,5.1104257760788324e-05
HUN,Industries,Manufacture of basic metals,5.1056470561334866e-05
POL,Industries,Manufacture of other transport equipment,5.0296697968094394e-05
POL,Commodities,Electrical machinery and apparatus n.e.c.,5.024619575263918e-05
DEU,Commodities,Data processing services,4.9957223854665025e-05
GRC,Industries,"Manufacture of fabricated metal products, except machinery and equipment",4.979871723690734e-05
USA,Commodities,Automobile manufacturing                                                                                                     ,4.957912377708643e-05
CHN,Commodities,Chemicals for special usages,4.9570311774573153e-05
PRT,Industries,"Manufacture of fabricated metal products, except machinery and equipment",4.937481021170636e-05
JPN,Commodities,Worker dispatching services,4.87918198252976e-05
KOR,Commodities,Other fabricated textile products,4.6737375374966994e-05
JPN,Commodities,"Printing, plate making and book binding",4.642954279342776e-05
NOR,Commodities,"Chemicals, chemical products and man-made fibres",4.634548040767133e-05
JPN,Commodities,Information services,4.602237856601689e-05
ITA,Commodities,Electrical machinery and apparatus n.e.c.,4.600160994739231e-05
BEL,Commodities,"Chemicals, chemical products and man-made fibres",4.5602519474220396e-05
CHN,Commodities,Railway freight transport,4.5542971678904085e-05
NLD,Commodities,Rubber and plastic products,4.4972395651519755e-05
MLT,Industries,Mining of coal and lignite; extraction of peat,4.4706020510248314e-05
MLT,Industries,Mining of metal ores,4.470564824448401e-05
MLT,Industries,Mining of uranium and thorium ores,4.4705182912278626e-05
KOR,Commodities,"Radio, television and communications equipment",4.459055227234081e-05
DNK,Industries,Water transport,4.324898972889565e-05
CHN,Commodities,Wearing apparel,4.25017098844453e-05
AUT,Commodities,Re-export,4.243418486920286e-05
POL,Commodities,Rubber and plastic products,4.187817427975517e-05
JPN,Commodities,Non-life insurance,4.181389039673543e-05
JPN,Commodities,Coated steel,4.143758942193114e-05
AUT,Industries,"Manufacture of medical, precision and optical instruments, watches and clocks",4.1364180378309835e-05
CHN,Commodities,Iron-smelting ,4.124249447223767e-05
JPN,Commodities,Petroleum refinery products (inc. greases),4.103018219602814e-05
FRA,Commodities,"Fabricated metal products, except machinery and equipment",4.096547154791194e-05
CHN,Commodities,Other non-metallic mineral products,4.046768981454339e-05
CHN,Commodities,Insurance,4.024828888686899e-05
BEL,Commodities,Machinery and equipment n.e.c.,4.0163208066666355e-05
DNK,Industries,"Mfr. of pulp, paper and paper products",4.0085592809778845e-05
CHE,Commodities,Rubber and plastic products,4.006876520479743e-05
SWE,Industries,"Manufacture of fabricated metal products, except machinery and equipment",3.959926869373317e-05
DEU,Commodities,Research and development services,3.949848688227386e-05
JPN,Commodities,"Trucks, buses and other cars",3.9403913828039026e-05
GBR,Commodities,Manufacture of other rubber products   ,3.925079263970789e-05
JPN,Commodities,Batteries,3.9222719399066154e-05
KOR,Commodities,Inorganic basic chemical products,3.8872116349183444e-05
CAN,Industries,"Motor vehicles, trailers & semi-trailers",3.8833634966396654e-05
JPN,Commodities,Carpets and floor mats,3.811884538759042e-05
DEU,Commodities,Printing and electronic publishing,3.7807233308577074e-05
CHN,Commodities,Other transport machinery,3.773874944151758e-05
DEU,Commodities,Rail transport,3.773182020602429e-05
BEL,Commodities,Rubber and plastic products,3.761219204689209e-05
IRL,Commodities,Machinery and equipment n.e.c.,3.7577037947760334e-05
SVN,Commodities,car,3.751584884451176e-05
JPN,Commodities,Abrasive,3.7434751287987985e-05
DNK,Industries,Renting of machinery and equipment etc.,3.703946252104372e-05
JPN,Commodities,Electric audio equipment,3.694160063690932e-05
FIN,Industries,Manufacture of electrical machinery and apparatus n.e.c.,3.668289607041665e-05
PRT,Commodities,car,3.667781593229351e-05
DNK,Industries,Construction materials,3.666487821166533e-05
DNK,Industries,Mfr. of domestic appliances n.e.c.,3.6498397273493116e-05
AUT,Commodities,"Fabricated metal products, except machinery and equipment",3.6355744684355325e-05
CHE,Commodities,"Coke, refined petroleum products and nuclear fuel; chemicals and chemical products",3.627699084554437e-05
DEU,Commodities,"Coal, coke and petroleum products, nuclear fuels",3.5752985535378986e-05
ESP,Commodities,Metallurgy products,3.559547158303469e-05
USA,Commodities,Aircraft engine and engine parts manufacturing                                                                               ,3.545917995247114e-05
ESP,Commodities,Metallic products,3.491179608523436e-05
POL,Commodities,Re-export,3.476909693530422e-05
DNK,Industries,Industrial cleaning,3.453036112255527e-05
AUT,Industries,"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale services of automotive fuel",3.392242850713946e-05
DNK,Industries,Mfr. of furniture,3.305749320334811e-05
USA,Commodities,Iron and steel mills and ferroalloy manufacturing,3.297227451221643e-05
DNK,Industries,Mfr. of glass and ceramic goods etc.,3.293295136891802e-05
CZE,Industries,"Manufacture of fabricated metal products, except machinery and equipment",3.25767268925784e-05
DEU,Commodities,Public administration and defence,3.2488093432998634e-05
DEU,Commodities,Waste disposal and sewerage services,3.2429784236825616e-05
GBR,Commodities,Copper production   ,3.2063656630341966e-05
DNK,Industries,Repair and maintenance of buildings,3.1667041639809155e-05
GBR,Commodities,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers ,3.166370882271286e-05
HKG,Commodities,transport industries,3.148993369425939e-05
DNK,Industries,Restaurants etc.,3.106289694735388e-05
IND,Commodities,car,3.103202138077695e-05
DEU,Commodities,Textiles,3.0958425468617204e-05
DNK,Industries,Mfr. of office machinery and computers,3.093643408699282e-05
JPN,Commodities,Other general industrial machinery and equipment,3.093220292033307e-05
JPN,Commodities,Harbor transport service,3.0784389061825185e-05
NOR,Commodities,"Fabricated metal products, except machinery and equipment",3.04816032974026e-05
BEL,Industries,Manufacture of furniture; manufacturing n.e.c.,3.0456617197010565e-05
IND,Commodities,Miscellaneous metal products,3.0310954966747328e-05
CHN,Commodities,Other special industrial equipment,2.997485967512006e-05
SWE,Commodities,Other non-metallic mineral products,2.9909720671547183e-05
IRL,Industries,Manufacture of machinery and equipment n.e.c.,2.9907556185412633e-05
POL,Commodities,Other non-metallic mineral products,2.9766366917378885e-05
CZE,Commodities,"Fabricated metal products, except machinery and equipment",2.973549918734906e-05
PRT,Industries,Manufacture of furniture; manufacturing n.e.c.,2.9605987966393722e-05
DNK,Industries,"Accounting, book-keeping, auditing etc.",2.9540006942215776e-05
NLD,Commodities,Electrical machinery and apparatus n.e.c.,2.9477187165560312e-05
USA,Commodities,Light truck and utility vehicle manufacturing ,2.8902845445537216e-05
HKG,Commodities,fabricated metal products,2.8720410223901953e-05
DNK,Industries,Non-life insurance,2.8641318952288157e-05
DNK,Industries,Hotels etc.,2.8599992838975484e-05
JPN,Commodities,Radio and television sets,2.8582545353073943e-05
DEU,Commodities,Air transport,2.8458891068287767e-05
DNK,Industries,Other financial intermediation,2.8345435668101463e-05
CHN,Commodities,Sawmills and fibreboard,2.793973271570658e-05
AUS,Commodities,Motor vehicle parts,2.792566235448817e-05
KOR,Commodities,Office supplies,2.7685214858102853e-05
LVA,Commodities,Basic metals,2.7538713921298343e-05
MLT,Industries,Research and development,2.7467682600181602e-05
DNK,Industries,Activities of membership organiza. n.e.c.,2.736709051390838e-05
DNK,Industries,Manufacture of other plastic products n.e.c.,2.7351084080657746e-05
DNK,Industries,Refuse collection and sanitation,2.7228382599736202e-05
GBR,Commodities,"Manufacture of plastic plates, sheets, tubes and profiles  ",2.714144525345589e-05
DNK,Industries,Computer activities exc. software consultancy and supply,2.7115422453284266e-05
USA,Commodities,Other general purpose machinery manufacturing,2.7049004803138845e-05
DNK,Industries,Mfr. of detergents and other chemical products,2.682146628233369e-05
DEU,Commodities,Non-metallic mineral products,2.663804354584601e-05
CZE,Industries,Other business activities,2.6545104402785954e-05
DNK,Industries,"Other retail sale, repair work",2.6455123679793454e-05
GBR,Commodities,Other first processing of iron and steel not elsewhere classified; production of non-ECSC ferro-alloys ,2.6429307623139487e-05
CHN,Commodities,Arts and crafts products,2.637264742270406e-05
IRL,Industries,Manufacture of electrical machinery and apparatus n.e.c.,2.6289499310463908e-05
USA,Commodities,Other engine equipment manufacturing                                                                                         ,2.627745553628858e-05
DEU,Commodities,"Medical, scientific, optical equipment, watches",2.6272566672224432e-05
USA,Commodities,Farm machinery and equipment manufacturing                                                                                   ,2.61048754487089e-05
AUT,Commodities,Rubber and plastic products,2.5896389454867082e-05
GBR,Commodities,Manufacture of basic iron and steel and of ferro-alloys  ,2.5859787752515255e-05
HUN,Industries,"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale services of automotive fuel",2.581677011211343e-05
FIN,Commodities,Machinery and equipment n.e.c.,2.540659913330056e-05
DNK,Industries,Repair and maintenance of motor vehicles,2.537408520517827e-05
JPN,Commodities,Storage facility service,2.513856140860696e-05
USA,Commodities,Heavy duty truck manufacturing                                                                                               ,2.4987903160105653e-05
AUT,Commodities,Electrical machinery and apparatus n.e.c.,2.4887678744436812e-05
CHE,Commodities,"Medical, precision and optical instruments, watches and clocks",2.484696876831671e-05
DNK,Industries,"Consulting engineers, architects etc.",2.469542437896926e-05
THA,Commodities,Footwear Except Rubber,2.4408737188406796e-05
FIN,Commodities,"Fabricated metal products, except machinery and equipment",2.4385482700437432e-05
BEL,Industries,Manufacture of basic metals,2.4353539434914074e-05
SVK,Industries,Manufacture of basic metals,2.4125121358124254e-05
JPN,Commodities,Miscellaneous manufacturing products,2.3926593972674283e-05
SVK,Commodities,Basic metals,2.391195069992788e-05
CHN,Commodities,Resident services and other services,2.388438339106375e-05
CHN,Commodities,Raw chemical materials,2.386417820917712e-05
EST,Commodities,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials,2.3832912696714123e-05
ESP,Commodities,Electric machinery and material,2.3704952606408044e-05
HUN,Commodities,Electrical machinery and apparatus n.e.c.,2.367068287098867e-05
DEU,Commodities,Insurance,2.3497733766628596e-05
CHN,Commodities,Eating and drinking places,2.3296916144487044e-05
ITA,Commodities,"Chemicals, chemical products and man-made fibres",2.324098466098977e-05
